file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/RawCorefSample.java,opennlp.tools.formats.muc.RawCorefSample,getTexts/0,false,39,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/RawCorefSample.java,opennlp.tools.formats.muc.RawCorefSample,setParses/1[java.util.List<opennlp.tools.formats.muc.Parse>],false,47,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/RawCorefSample.java,opennlp.tools.formats.muc.RawCorefSample,getMentions/0,false,43,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/RawCorefSample.java,opennlp.tools.formats.muc.RawCorefSample,getParses/0,false,51,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/RawCorefSample.java,opennlp.tools.formats.muc.RawCorefSample,"RawCorefSample/2[java.util.List<java.lang.String>,java.util.List<opennlp.tools.formats.muc.MucCorefContentHandler.CorefMention[]>]",true,36,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/ShallowParseCorefEnhancerStream.java,opennlp.tools.formats.muc.ShallowParseCorefEnhancerStream,read/0,false,44,4,6,15,28,2,8,0,15,0,0,3,1,0,0,1,5,8,0,4,0,0,0,22,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/ShallowParseCorefEnhancerStream.java,opennlp.tools.formats.muc.ShallowParseCorefEnhancerStream,"ShallowParseCorefEnhancerStream/3[opennlp.tools.formats.muc.POSTagger,opennlp.tools.formats.muc.Chunker,opennlp.tools.formats.muc.ObjectStream<opennlp.tools.formats.muc.RawCorefSample>]",true,38,3,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/Muc6FullParseCorefSampleStreamFactory.java,opennlp.tools.formats.muc.Muc6FullParseCorefSampleStreamFactory$Parameters,getParserModel/0,false,57,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/Muc6FullParseCorefSampleStreamFactory.java,opennlp.tools.formats.muc.Muc6FullParseCorefSampleStreamFactory$Parameters,getTokenizerModel/0,false,60,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-sandbox-37af4c6d42a9affba4f7c9bbc64175768750563f/opennlp-coref/src/main/java/opennlp/tools/formats/muc/Muc6FullParseCorefSampleStreamFactory.java,opennlp.tools.formats.muc.Muc6FullParseCorefSampleStreamFactory$Parameters,getOrganizationModel/0,false,66,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,false
