file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/lemmatizer/MorfologikLemmatizerTest.java,opennlp.morfologik.lemmatizer.MorfologikLemmatizerTest,createDictionary/1[boolean],false,63,2,1,3,5,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/lemmatizer/MorfologikLemmatizerTest.java,opennlp.morfologik.lemmatizer.MorfologikLemmatizerTest,testLemmatizeInsensitive/0,false,33,3,1,4,9,0,4,0,4,1,1,0,0,0,0,8,3,4,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/lemmatizer/MorfologikLemmatizerTest.java,opennlp.morfologik.lemmatizer.MorfologikLemmatizerTest,testLemmatizeMultiLemma/0,false,50,3,1,6,8,0,4,0,6,1,1,0,0,0,0,4,2,4,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/builder/POSDictionayBuilderTest.java,opennlp.morfologik.builder.POSDictionayBuilderTest,testBuildDictionary/0,false,75,3,1,4,6,0,2,0,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/builder/POSDictionayBuilderTest.java,opennlp.morfologik.builder.POSDictionayBuilderTest,main/1[java.lang.String[]],false,53,2,1,5,9,0,6,1,5,0,0,0,0,0,0,5,0,6,0,0,0,0,0,25,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/builder/POSDictionayBuilderTest.java,opennlp.morfologik.builder.POSDictionayBuilderTest,createMorfologikDictionary/0,false,36,2,1,9,10,1,3,0,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/POSTaggerFactoryTest.java,opennlp.morfologik.tagdict.POSTaggerFactoryTest,testPOSTaggerWithCustomFactory/0,false,70,9,1,13,18,0,8,0,13,1,2,0,0,0,0,1,1,10,0,0,0,0,0,29,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/POSTaggerFactoryTest.java,opennlp.morfologik.tagdict.POSTaggerFactoryTest,createSampleStream/0,false,49,7,2,3,11,1,2,0,3,0,0,0,0,1,0,2,0,3,0,1,0,0,0,22,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/POSTaggerFactoryTest.java,opennlp.morfologik.tagdict.POSTaggerFactoryTest,"trainPOSModel/2[opennlp.tools.util.model.ModelType,opennlp.tools.postag.POSTaggerFactory]",false,64,6,1,3,3,1,0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/MorfologikTagDictionaryTest.java,opennlp.morfologik.tagdict.MorfologikTagDictionaryTest,testNoLemma/0,false,35,3,1,7,6,0,2,0,7,1,2,0,0,0,0,2,1,2,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/MorfologikTagDictionaryTest.java,opennlp.morfologik.tagdict.MorfologikTagDictionaryTest,createDictionary/1[boolean],false,80,2,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/MorfologikTagDictionaryTest.java,opennlp.morfologik.tagdict.MorfologikTagDictionaryTest,testPOSDictionarySensitive/0,false,62,3,1,7,10,0,2,0,7,1,2,0,0,0,0,5,2,3,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/MorfologikTagDictionaryTest.java,opennlp.morfologik.tagdict.MorfologikTagDictionaryTest,"createDictionary/2[boolean,java.util.List<java.lang.String>]",false,85,3,1,4,6,1,2,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/test/java/opennlp/morfologik/tagdict/MorfologikTagDictionaryTest.java,opennlp.morfologik.tagdict.MorfologikTagDictionaryTest,testPOSDictionaryInsensitive/0,false,44,3,1,7,11,0,2,0,7,1,2,0,0,0,0,6,2,3,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/main/java/opennlp/morfologik/lemmatizer/MorfologikLemmatizer.java,opennlp.morfologik.lemmatizer.MorfologikLemmatizer,MorfologikLemmatizer/1[java.nio.file.Path],true,41,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/main/java/opennlp/morfologik/lemmatizer/MorfologikLemmatizer.java,opennlp.morfologik.lemmatizer.MorfologikLemmatizer,asString/1[java.lang.CharSequence],false,61,0,2,1,6,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/opennlp-a07efca33b40f18e9d28a59f9e40924a0c8a89a5/opennlp-morfologik-addon/src/main/java/opennlp/morfologik/lemmatizer/MorfologikLemmatizer.java,opennlp.morfologik.lemmatizer.MorfologikLemmatizer,"lemmatize/2[java.lang.String[],java.lang.String[]]",false,69,1,3,3,13,1,3,2,3,1,2,1,0,0,0,0,3,5,0,2,0,0,0,6,1,0,false
